customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year,MonthlyCostPerService
4929-XIHVW,Male,1,1,0,2,1,No,No,No,Yes,No,Yes,Yes,1,95.5,181.65,0,True,False,True,False,False,False,False,31.833333333333332
6827-IEAUQ,Female,0,1,1,27,1,No,Yes,Yes,Yes,Yes,No,No,0,66.15,1874.45,0,False,False,False,False,True,True,False,2.3625000000000003
7310-EGVHZ,Male,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,20.2,0,False,True,False,False,False,False,False,10.1
3413-BMNZE,Male,1,0,0,1,1,No,No,No,No,No,No,No,0,45.25,45.25,0,False,False,False,False,False,False,False,22.625
6234-RAAPL,Female,0,1,1,72,1,Yes,Yes,Yes,No,Yes,Yes,No,0,99.9,7251.7,0,True,False,False,False,False,False,True,1.3684931506849316
6047-YHPVI,Male,0,0,0,5,1,No,No,No,No,No,No,No,1,69.7,316.9,1,True,False,False,True,False,False,False,11.616666666666667
6572-ADKRS,Female,0,0,0,46,1,No,No,No,Yes,No,No,No,1,74.8,3548.3,0,True,False,True,False,False,False,False,1.5914893617021275
5380-WJKOV,Male,0,0,0,34,1,Yes,No,Yes,Yes,No,Yes,Yes,1,106.35,3549.25,1,True,False,False,True,False,False,False,3.0385714285714283
8168-UQWWF,Female,0,0,0,11,1,Yes,No,No,Yes,No,Yes,Yes,1,97.85,1105.4,1,True,False,False,False,False,False,False,8.154166666666667
8865-TNMNX,Male,0,1,1,10,1,No,No,Yes,No,No,No,No,0,49.55,475.7,0,False,False,False,False,True,True,False,4.504545454545454
9489-DEDVP,Female,0,1,1,70,1,Yes,Yes,Yes,No,No,Yes,No,1,69.2,4872.35,0,False,False,True,False,False,False,True,0.9746478873239437
9867-JCZSP,Female,0,1,1,17,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.75,418.25,0,False,True,False,False,True,True,False,1.1527777777777777
4671-VJLCL,Female,0,0,0,63,1,Yes,Yes,Yes,Yes,Yes,Yes,No,1,79.85,4861.45,0,False,False,True,False,False,False,True,1.24765625
4080-IIARD,Female,0,1,0,13,1,Yes,Yes,Yes,No,Yes,Yes,No,1,76.2,981.45,0,False,False,False,True,False,False,False,5.442857142857143
3714-NTNFO,Female,0,0,0,49,1,Yes,No,No,No,No,No,Yes,1,84.5,3906.7,0,True,False,False,True,False,False,False,1.69
5948-UJZLF,Male,0,0,0,2,1,No,No,Yes,No,No,No,No,0,49.25,97.0,0,False,False,False,False,True,False,False,16.416666666666668
7760-OYPDY,Female,0,0,0,2,1,No,No,No,No,No,Yes,No,1,80.65,144.15,1,True,False,False,True,False,False,False,26.883333333333336
7639-LIAYI,Male,0,0,0,52,1,Yes,Yes,No,No,Yes,Yes,Yes,1,79.75,4217.8,0,False,False,True,False,False,False,True,1.5047169811320755
2954-PIBKO,Female,0,1,1,69,1,Yes,Yes,No,Yes,Yes,No,No,1,64.15,4254.1,0,False,False,True,False,False,False,True,0.9164285714285715
8012-SOUDQ,Female,1,0,0,43,1,Yes,No,Yes,No,No,Yes,No,1,90.25,3838.75,0,True,False,False,True,False,False,False,2.0511363636363638
9420-LOJKX,Female,0,0,0,15,1,No,Yes,Yes,No,No,Yes,Yes,1,99.1,1426.4,1,True,False,True,False,False,False,False,6.19375
6575-SUVOI,Female,1,1,0,25,1,Yes,Yes,No,No,Yes,Yes,No,1,69.5,1752.65,0,False,False,True,False,False,False,False,2.673076923076923
7495-OOKFY,Female,1,1,0,8,1,Yes,No,Yes,No,No,No,No,1,80.65,633.3,1,True,False,True,False,False,False,False,8.961111111111112
4667-QONEA,Female,1,1,1,60,1,No,Yes,Yes,Yes,Yes,No,Yes,1,74.85,4456.35,0,False,False,True,False,False,True,False,1.2270491803278687
1658-BYGOY,Male,1,0,0,18,1,Yes,No,No,No,No,Yes,Yes,1,95.45,1752.55,1,True,False,False,True,False,False,False,5.023684210526316
8769-KKTPH,Female,0,1,1,63,1,Yes,Yes,No,No,No,Yes,Yes,1,99.65,6311.2,0,True,False,True,False,False,True,False,1.55703125
5067-XJQFU,Male,1,1,1,66,1,Yes,No,Yes,Yes,Yes,Yes,Yes,1,108.45,7076.35,0,True,False,False,True,False,True,False,1.6186567164179104
3957-SQXML,Female,0,1,1,34,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,24.95,894.3,0,False,True,True,False,False,False,True,0.7128571428571429
5954-BDFSG,Female,0,0,0,72,1,Yes,No,No,Yes,Yes,Yes,Yes,1,107.5,7853.7,0,True,False,True,False,False,False,True,1.4726027397260273
0434-CSFON,Female,0,1,0,47,1,Yes,No,No,Yes,No,Yes,Yes,1,100.5,4707.1,0,True,False,False,True,False,False,False,2.09375
1215-FIGMP,Male,0,0,0,60,1,Yes,No,Yes,No,No,Yes,No,1,89.9,5450.7,0,True,False,False,False,False,False,False,1.4737704918032788
0526-SXDJP,Male,0,1,0,72,0,No phone service,Yes,Yes,Yes,No,No,No,0,42.1,2962.0,0,False,False,False,False,False,False,True,0.5767123287671233
0557-ASKVU,Female,0,1,1,18,1,No,No,No,Yes,Yes,No,No,1,54.4,957.1,0,False,False,True,False,False,True,False,2.863157894736842
5698-BQJOH,Female,0,0,0,9,1,Yes,No,No,No,No,Yes,Yes,0,94.4,857.25,1,True,False,False,True,False,False,False,9.440000000000001
5122-CYFXA,Female,0,0,0,3,1,No,No,Yes,No,Yes,Yes,Yes,1,75.3,244.1,0,False,False,False,True,False,False,False,18.825
8627-ZYGSZ,Male,0,1,0,47,1,Yes,No,Yes,No,No,No,No,1,78.9,3650.35,0,True,False,False,True,False,True,False,1.64375
3410-YOQBQ,Female,0,0,0,31,1,No,No,Yes,Yes,Yes,Yes,Yes,0,79.2,2497.2,0,False,False,False,False,True,False,True,2.475
3170-NMYVV,Female,0,1,1,50,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,930.9,0,False,True,False,False,False,False,True,0.39509803921568626
7410-OIEDU,Male,0,0,0,10,1,No,Yes,No,Yes,No,No,No,1,79.85,887.35,0,True,False,False,False,True,False,False,7.259090909090909
2273-QCKXA,Male,0,0,0,1,1,No,No,No,No,Yes,No,No,0,49.05,49.05,0,False,False,False,False,True,False,False,24.525
0731-EBJQB,Female,0,1,1,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,20.4,1090.65,0,False,True,False,True,False,True,False,0.38490566037735846
1891-QRQSA,Male,1,1,1,64,1,Yes,Yes,No,Yes,Yes,Yes,Yes,1,111.6,7099.0,0,True,False,False,False,False,False,True,1.7169230769230768
8028-PNXHQ,Male,0,1,1,62,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,24.25,1424.6,0,False,True,False,False,False,False,True,0.38492063492063494
5630-AHZIL,Female,0,0,1,3,1,No,Yes,No,No,Yes,No,Yes,1,64.5,177.4,0,False,False,False,False,False,False,False,16.125
2673-CXQEU,Female,1,0,0,56,1,Yes,Yes,Yes,Yes,No,Yes,Yes,0,110.5,6139.5,0,True,False,False,True,False,True,False,1.9385964912280702
6416-JNVRK,Female,0,0,0,46,1,No,No,No,No,No,No,Yes,0,55.65,2688.85,0,False,False,True,False,False,True,False,1.1840425531914893
5590-ZSKRV,Female,0,1,1,8,1,No,Yes,Yes,No,No,No,No,0,54.65,482.25,0,False,False,False,False,True,False,False,6.072222222222222
0191-ZHSKZ,Male,1,0,0,30,1,No,Yes,Yes,No,No,Yes,Yes,1,74.75,2111.3,0,False,False,False,True,False,False,False,2.411290322580645
3887-PBQAO,Female,0,1,1,45,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,25.9,1216.6,0,False,True,True,False,False,True,False,0.5630434782608695
5919-TMRGD,Female,0,0,1,1,1,No,No,No,No,No,Yes,No,1,79.35,79.35,1,True,False,False,True,False,False,False,39.675
8108-UXRQN,Female,0,1,1,11,0,No phone service,Yes,No,No,No,Yes,Yes,0,50.55,565.35,0,False,False,False,True,False,False,False,4.2124999999999995
9191-MYQKX,Female,0,1,0,7,1,No,No,No,Yes,No,No,No,1,75.15,496.9,1,True,False,False,False,False,False,False,9.39375
9919-YLNNG,Female,0,0,0,42,1,No,No,Yes,Yes,Yes,Yes,Yes,1,103.8,4327.5,0,True,False,False,False,False,False,False,2.413953488372093
0318-ZOPWS,Female,0,1,0,49,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,20.15,973.35,0,False,True,False,False,False,False,True,0.40299999999999997
4445-ZJNMU,Male,0,0,0,9,1,Yes,No,Yes,No,No,Yes,Yes,1,99.3,918.75,0,True,False,True,False,False,False,False,9.93
4808-YNLEU,Female,0,1,0,35,1,No,Yes,No,No,No,Yes,No,1,62.15,2215.45,0,False,False,False,False,False,True,False,1.7263888888888888
1862-QRWPE,Female,0,1,1,48,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,1057.0,0,False,True,False,False,False,False,True,0.4214285714285714
2796-NNUFI,Female,0,1,1,46,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,19.95,927.1,0,False,True,False,False,True,False,True,0.42446808510638295
3016-KSVCP,Male,0,1,0,29,0,No phone service,No,No,No,No,Yes,No,0,33.75,1009.25,0,False,False,False,False,True,False,False,1.125
4767-HZZHQ,Male,0,1,1,30,1,No,No,Yes,Yes,No,No,No,0,82.05,2570.2,0,True,False,False,False,False,False,False,2.646774193548387
2424-WVHPL,Male,1,0,0,1,1,No,No,No,No,Yes,No,No,0,74.7,74.7,0,True,False,False,True,False,False,False,37.35
7233-PAHHL,Male,0,1,1,66,1,Yes,Yes,No,Yes,Yes,Yes,Yes,1,84.0,5714.25,0,False,False,False,False,True,False,True,1.2537313432835822
6067-NGCEU,Female,0,0,0,65,1,Yes,Yes,Yes,Yes,No,Yes,Yes,1,111.05,7107.0,0,True,False,True,False,False,False,False,1.6825757575757576
9848-JQJTX,Male,0,0,0,72,1,Yes,No,Yes,Yes,No,Yes,Yes,1,100.9,7459.05,0,True,False,False,False,False,False,True,1.382191780821918
8637-XJIVR,Female,0,0,0,12,1,Yes,Yes,No,No,No,No,No,1,78.95,927.35,1,True,False,False,True,False,False,False,6.073076923076924
9803-FTJCG,Male,0,1,1,71,1,Yes,Yes,Yes,No,Yes,No,No,1,66.85,4748.7,0,False,False,True,False,False,True,False,0.9284722222222221
0278-YXOOG,Male,0,0,0,5,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,21.05,113.85,1,False,True,False,False,True,False,False,3.5083333333333333
3212-KXOCR,Male,0,0,0,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,21.0,1107.2,0,False,True,False,False,False,False,True,0.39622641509433965
4598-XLKNJ,Female,1,1,0,25,1,No,No,Yes,Yes,No,Yes,Yes,1,98.5,2514.5,1,True,False,False,True,False,False,False,3.7884615384615383
6380-ARCEH,Male,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,20.2,0,False,True,False,False,True,False,False,10.1
3679-XASPY,Female,0,1,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.45,19.45,0,False,True,False,True,False,False,False,9.725
7123-WQUHX,Male,0,0,0,38,1,Yes,No,No,Yes,Yes,Yes,No,0,95.0,3605.6,0,True,False,False,False,False,True,False,2.4358974358974357
5386-THSLQ,Female,1,1,0,66,0,No phone service,No,Yes,Yes,No,Yes,No,0,45.55,3027.25,0,False,False,False,False,False,True,False,0.6798507462686567
3192-NQECA,Male,0,1,0,68,1,Yes,No,Yes,Yes,Yes,Yes,Yes,1,110.0,7611.85,1,True,False,False,False,False,False,True,1.5942028985507246
6180-YBIQI,Male,0,0,0,5,0,No phone service,No,No,No,No,No,No,0,24.3,100.2,0,False,False,False,False,True,False,False,4.05
6728-DKUCO,Female,0,1,1,72,1,Yes,Yes,Yes,No,No,Yes,Yes,1,104.15,7303.05,0,True,False,False,True,False,True,False,1.4267123287671233
9750-BOOHV,Female,0,0,0,32,0,No phone service,Yes,No,No,No,No,No,0,30.15,927.65,0,False,False,False,False,True,True,False,0.9136363636363636
8597-CWYHH,Male,0,0,0,43,1,Yes,No,No,No,No,Yes,Yes,0,94.35,3921.3,0,True,False,False,False,True,True,False,2.1443181818181816
2848-YXSMW,Male,0,1,1,72,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.4,1363.25,0,False,True,True,False,False,False,True,0.2657534246575342
0486-HECZI,Male,0,1,0,55,1,Yes,Yes,Yes,No,No,Yes,No,1,96.75,5238.9,1,True,False,False,True,False,False,False,1.7276785714285714
4549-ZDQYY,Female,0,0,0,52,1,No,Yes,No,Yes,Yes,No,No,0,57.95,3042.25,0,False,False,True,False,False,True,False,1.0933962264150945
5712-AHQNN,Female,0,0,0,43,1,No,No,Yes,Yes,No,Yes,No,1,91.65,3954.1,0,True,False,False,True,False,False,False,2.0829545454545455
4846-WHAFZ,Female,1,1,0,37,1,Yes,No,No,No,No,No,No,1,76.5,2868.15,1,True,False,False,True,False,False,False,2.013157894736842
5256-SKJGO,Female,0,1,1,64,0,No phone service,No,Yes,No,Yes,Yes,Yes,1,54.6,3423.5,0,False,False,False,True,False,False,True,0.84
3071-VBYPO,Male,0,1,1,3,1,No,Yes,Yes,No,No,Yes,No,0,89.85,248.4,0,True,False,False,True,False,False,False,22.4625
9560-BBZXK,Female,0,0,0,36,0,No phone service,Yes,No,No,No,No,No,0,31.05,1126.35,0,False,False,False,False,False,False,True,0.8391891891891892
5299-RULOA,Female,0,1,1,10,1,Yes,Yes,No,No,No,Yes,Yes,1,100.25,1064.65,1,True,False,False,True,False,False,False,9.113636363636363
8402-OOOHJ,Female,0,0,0,41,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,835.15,0,False,True,False,False,True,False,True,0.49166666666666664
9445-ZUEQE,Male,0,1,1,27,1,Yes,No,Yes,No,Yes,No,No,1,85.2,2151.6,0,True,False,True,False,False,False,False,3.042857142857143
1091-SOZGA,Female,0,1,1,56,1,Yes,No,No,Yes,No,Yes,Yes,1,99.8,5515.45,0,True,False,True,False,False,True,False,1.750877192982456
2928-HLDBA,Female,0,0,0,6,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.7,112.75,0,False,True,False,False,True,False,False,2.957142857142857
0404-SWRVG,Male,0,0,0,3,1,Yes,No,No,No,No,No,No,1,74.4,229.55,1,True,False,False,True,False,False,False,18.6
6497-TILVL,Female,0,1,1,7,1,No,Yes,No,No,No,No,No,0,50.7,350.35,0,False,False,False,False,True,False,False,6.3375
7219-TLZHO,Female,0,1,1,4,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.85,62.9,0,False,True,False,False,True,False,False,4.17
4622-YNKIJ,Male,0,0,0,33,1,No,Yes,No,No,Yes,Yes,No,1,88.95,3027.65,0,True,False,False,True,False,False,True,2.6161764705882353
4412-YLTKF,Female,1,0,0,27,1,Yes,No,No,Yes,No,No,No,1,78.05,2135.5,1,True,False,False,True,False,False,False,2.7875
6734-PSBAW,Male,0,1,0,72,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,23.55,1723.95,0,False,True,False,False,False,False,True,0.32260273972602743
3930-ZGWVE,Male,0,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.75,19.75,0,False,True,False,False,True,False,False,9.875
2639-UGMAZ,Male,1,0,0,71,0,No phone service,Yes,Yes,No,No,Yes,Yes,1,56.45,3985.35,0,False,False,False,True,False,True,False,0.7840277777777778
2876-GZYZC,Female,0,0,0,13,1,Yes,No,No,No,No,No,Yes,1,85.95,1215.65,0,True,False,False,True,False,False,False,6.139285714285714
6207-WIOLX,Female,0,1,1,25,0,No phone service,Yes,Yes,Yes,No,Yes,Yes,1,58.6,1502.65,1,False,False,True,False,False,False,False,2.253846153846154
8587-XYZSF,Male,0,0,0,67,1,No,No,No,No,Yes,No,No,0,50.55,3260.1,0,False,False,False,False,False,False,True,0.7433823529411764
3091-FYHKI,Male,0,0,0,1,0,No phone service,No,No,No,No,No,Yes,1,35.45,35.45,1,False,False,False,True,False,False,False,17.725
2372-HWUHI,Male,0,0,0,2,1,No,No,No,No,No,No,No,0,44.35,81.25,1,False,False,False,True,False,False,False,14.783333333333333
7799-LGRDP,Female,0,0,0,43,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,25.7,1188.2,0,False,True,True,False,False,False,True,0.5840909090909091
7850-VWJUU,Female,0,0,0,23,1,No,Yes,No,No,No,No,No,1,75.0,1778.5,0,True,False,False,False,False,False,False,3.125
3774-VBNXY,Female,0,1,1,64,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,1277.75,0,False,True,False,False,True,False,True,0.31076923076923074
6217-KDYWC,Male,0,0,1,57,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,19.6,1170.55,0,False,True,False,False,True,False,True,0.33793103448275863
0390-DCFDQ,Female,1,1,0,1,1,No,No,No,No,No,No,No,1,70.45,70.45,1,True,False,False,False,True,False,False,35.225
3146-MSEGF,Female,1,1,1,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,88.05,6425.65,0,False,False,True,False,False,False,True,1.2061643835616438
4080-OGPJL,Female,0,0,0,8,1,Yes,Yes,No,No,Yes,No,Yes,0,71.15,563.65,1,False,False,False,True,False,False,False,7.905555555555556
1095-WGNGG,Female,0,1,0,61,1,Yes,No,Yes,No,No,Yes,Yes,1,101.05,5971.25,0,True,False,False,False,False,False,True,1.6298387096774194
2636-SJDOU,Male,0,0,0,64,1,Yes,Yes,Yes,No,No,No,No,1,84.3,5289.05,0,True,False,True,False,False,True,False,1.2969230769230768
1131-QQZEB,Male,1,1,0,71,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,23.95,1756.2,0,False,True,False,False,False,False,True,0.3326388888888889
5716-EZXZN,Female,0,1,1,65,1,Yes,Yes,Yes,No,Yes,Yes,No,1,99.05,6416.7,0,True,False,True,False,False,False,True,1.5007575757575757
6837-BJYDQ,Male,0,0,0,3,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.6,61.35,0,False,True,False,False,True,True,False,4.9
2135-RXIHG,Male,0,0,0,1,1,No,No,No,No,No,No,No,1,45.65,45.65,1,False,False,False,True,False,False,False,22.825
6440-DKQGE,Male,0,0,1,30,1,No,No,Yes,Yes,No,Yes,No,0,64.5,1929.95,0,False,False,True,False,False,True,False,2.0806451612903225
3466-BYAVD,Male,0,1,1,15,1,No,No,Yes,Yes,Yes,No,Yes,1,69.5,1071.4,0,False,False,False,False,True,False,False,4.34375
3780-YVMFA,Female,0,1,1,8,1,No,No,No,No,Yes,Yes,Yes,1,68.55,564.35,0,False,False,False,True,False,False,False,7.616666666666666
3874-EQOEP,Male,0,0,0,7,1,Yes,No,No,No,No,Yes,Yes,0,95.0,655.5,1,True,False,False,False,True,False,False,11.875
1679-JRFBR,Female,0,1,1,70,1,Yes,Yes,Yes,Yes,No,Yes,Yes,1,108.15,7930.55,0,True,False,True,False,False,True,False,1.5232394366197184
9073-ZZIAY,Male,0,1,1,62,1,No,Yes,Yes,Yes,Yes,Yes,Yes,0,86.1,5215.25,0,False,False,False,True,False,False,True,1.3666666666666665
3077-RSNTJ,Female,0,1,1,6,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.7,113.5,0,False,True,False,False,True,False,False,2.814285714285714
6551-GNYDG,Female,0,1,1,14,1,No,No,No,No,No,No,Yes,1,80.9,1152.8,0,True,False,False,False,False,False,False,5.3933333333333335
9167-APMXZ,Female,0,0,0,22,1,Yes,No,No,No,No,Yes,No,1,84.15,1821.95,0,True,False,False,False,False,False,False,3.6586956521739133
2749-CTKAJ,Male,0,1,1,22,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,419.9,0,False,True,False,False,True,True,False,0.8760869565217391
6371-NZYEG,Male,0,1,1,16,1,No,Yes,No,Yes,No,Yes,No,0,64.25,1024.0,0,False,False,False,False,True,False,True,3.7794117647058822
7554-NEWDD,Male,0,0,0,10,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,25.7,251.6,0,False,True,False,False,False,False,True,2.3363636363636364
8992-VONJD,Female,0,0,1,13,1,No,Yes,Yes,No,No,No,No,1,56.0,764.55,0,False,False,False,True,False,False,False,4.0
0867-MKZVY,Female,0,1,0,20,1,Yes,Yes,No,No,No,No,No,0,82.4,1592.35,1,True,False,False,True,False,False,False,3.923809523809524
4482-EWFMI,Female,0,0,0,2,1,No,No,No,No,No,No,No,1,69.7,135.2,0,True,False,False,True,False,False,False,23.233333333333334
4648-YPBTM,Male,0,0,0,53,1,Yes,No,Yes,Yes,Yes,No,Yes,1,73.9,3958.25,0,False,False,False,False,False,False,True,1.3685185185185187
2907-ILJBN,Female,0,1,1,11,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.6,233.9,0,False,True,False,False,True,True,False,1.7166666666666668
6345-FZOQH,Male,0,1,0,69,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.9,1363.45,0,False,True,False,False,True,False,True,0.28428571428571425
3376-BMGFE,Female,0,0,0,4,1,No,No,No,No,No,No,No,1,70.9,273.0,1,True,False,False,False,False,False,False,14.180000000000001
5997-OPVFA,Male,0,1,0,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,89.05,6254.45,0,False,False,False,False,False,False,True,1.2198630136986301
3445-HXXGF,Male,1,1,0,58,0,No phone service,No,Yes,Yes,No,No,Yes,1,45.3,2651.2,1,False,False,False,True,False,False,False,0.7677966101694915
1159-WFSGR,Female,0,1,1,16,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.4,321.4,0,False,True,False,True,False,False,False,1.2
7654-YWJUF,Male,0,1,0,43,1,No,Yes,No,Yes,Yes,No,No,1,84.25,3539.25,0,True,False,False,False,False,True,False,1.9147727272727273
